13:27:54.529 [main] INFO  testCases.TC_002_SFS_All_Mobile - Range Selected 30
13:27:58.870 [main] INFO  pageObjects.Android.SectionControlsPage - Rating Control Title Validation with Expected: How was your experience? and Actual is:  How was your experience? 
13:28:01.471 [main] INFO  testCases.TC_002_SFS_All_Mobile - Rating Value: OkayClicked
13:28:06.867 [main] INFO  pageObjects.Android.SectionControlsPage - Opinion Scale Control Title Validation with Expected: Choose a number? and Actual is:  Choose a number? 
13:28:13.754 [main] INFO  utilities.Android.UtilityCustomFunctions - [7] is selected in List
13:28:13.754 [main] INFO  testCases.TC_002_SFS_All_Mobile - Opinion Scale : 7Clicked
13:28:20.898 [main] INFO  pageObjects.Android.SectionControlsPage - Date Control Title Validation with Expected: Select a date and Actual is: Select a date
13:28:33.112 [main] INFO  testCases.TC_002_SFS_All_Mobile - Date Value Updated to DataSheet
13:28:40.951 [main] INFO  pageObjects.Android.SectionControlsPage - Links Control Title Validation with Expected: Please contact us and Actual is:   Please contact us  
13:28:46.686 [main] INFO  pageObjects.Android.SectionControlsPage - ThankYou Control Title Validation with Expected: Nice chatting with you and Actual is: Nice chatting with you
13:28:52.668 [main] INFO  pageObjects.Android.SectionControlsPage - PictureMessage Control Title Validation with Expected: Select the picture…! and Actual is:  Select the picture…! 
13:28:53.278 [main] INFO  testCases.TC_002_SFS_All_Mobile - Picture Message Seleted:SelectPicture
13:28:58.803 [main] INFO  pageObjects.Android.SectionControlsPage - YesorNo Control Title Validation with Expected: Select Yes or No..? and Actual is:  Select Yes or No..? 
13:28:59.293 [main] INFO  testCases.TC_002_SFS_All_Mobile - Yes or No ClickedNo
13:29:02.560 [main] INFO  pageObjects.Android.SectionControlsPage - Agreement Control Title Validation with Expected: Terms and Conditions..! and Actual is:  Terms and Conditions..! 
13:29:04.641 [main] INFO  utilities.SurveyFormReUsables - Agreement Text Passed : Actual Value is: I agree to the terms and conditionsExpected Value is: I agree to the terms and conditions
13:29:06.278 [main] INFO  testCases.TC_002_SFS_All_Mobile - Validation of Agreement Text Actual is: I agree to the terms and conditions Expected is: I agree to the terms and conditions
13:29:08.026 [main] INFO  pageObjects.Android.SectionControlsPage - RankingMatrix Control Title Validation with Expected: Choose the value..! and Actual is:  Choose the value..! 
13:29:10.075 [main] INFO  testCases.TC_002_SFS_All_Mobile - Ranking Matrix Values Selected
13:29:15.293 [main] INFO  testCases.TC_002_SFS_All_Mobile - Section UI Form Submitted
13:30:12.763 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - ******starting TC_002_SFS_All_MobileResponse ****
13:30:12.773 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - Test Execution on Browser: chrome
13:30:12.777 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - Excel file Utility instance created
13:30:14.366 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - Row Count is: 1
13:30:14.498 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - Col Count is: 50
13:30:14.498 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - Extracting DataSheet Values started...
13:30:18.771 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - Extracting DataSheet Values Completed...
13:30:23.783 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - Navigation started
13:30:27.435 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - Login details Entered
13:30:27.535 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - Chat bot Logged In
13:30:42.547 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - Hard wait for 15 secs
13:30:50.896 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - clear all button clicked on listbox
13:30:51.231 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - Build Name entered in List Box
13:30:54.235 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - Waited for 3 secs
13:30:54.351 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - Enter Key applied on ListBox
13:30:55.358 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - Hard Wait for 1 sec
13:30:55.481 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - clicked side bar Build button once
13:30:56.494 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - Hard Wait for 1 sec
13:30:56.588 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - clicked side bar Result
13:30:56.895 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - Side Item Response clicked
13:30:57.027 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - clicked refresh Response
13:30:57.129 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - clicked refresh Response Again
13:31:00.240 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - Clicked first Response
13:31:00.240 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - Navigated to Build: SFAllMobile_Section
13:31:01.435 [main] INFO  testCases.TC_002_SFS_All_MobileResponse - Section Title in Response : 1) Section Title..!
13:31:02.611 [main] INFO  utilities.Browser.SurveyFormReUsables - Message Title in Response Expected Value:Hi, Welcome to Survey form...! Actual Value: Hi, Welcome to chat bot..!
13:31:02.611 [main] INFO  utilities.Browser.SurveyFormReUsables - Message Title in Response Failed : Actual Value is: Hi, Welcome to chat bot..!Expected Value is: Hi, Welcome to Survey form...!
13:31:05.108 [main] INFO  utilities.Browser.SurveyFormReUsables - Multi Choice Question in Response Expected Value:Select an option..! Actual Value: Select an option..!
13:31:05.109 [main] INFO  utilities.Browser.SurveyFormReUsables - Multi Choice Question in Response Passed : Actual Value is: Select an option..!Expected Value is: Select an option..!
13:31:06.511 [main] INFO  utilities.Browser.SurveyFormReUsables - Multi Choice Answer in Response Expected Value:Strongly DisAgree Actual Value: Strongly DisAgree
13:31:06.511 [main] INFO  utilities.Browser.SurveyFormReUsables - Multi Choice Answer in Response Passed : Actual Value is: Strongly DisAgreeExpected Value is: Strongly DisAgree
13:31:08.946 [main] INFO  utilities.Browser.SurveyFormReUsables - Text Question Control Question Expected Value:Please type an answer ..! Actual Value: Please type an answer ..!
13:31:08.947 [main] INFO  utilities.Browser.SurveyFormReUsables - Text Question Control Question Passed : Actual Value is: Please type an answer ..!Expected Value is: Please type an answer ..!
13:31:10.338 [main] INFO  utilities.Browser.SurveyFormReUsables - Text Question Control Answer Expected Value:Welcome to Automation...! Test execution of Survey form Controls within Section UI. Actual Value: Welcome to Automation...! Test execution of Survey form Controls within Section UI.
13:31:10.338 [main] INFO  utilities.Browser.SurveyFormReUsables - Text Question Control Answer Passed : Actual Value is: Welcome to Automation...! Test execution of Survey form Controls within Section UI.Expected Value is: Welcome to Automation...! Test execution of Survey form Controls within Section UI.
13:31:12.756 [main] INFO  utilities.Browser.SurveyFormReUsables - Email Control Question Expected Value:What is your email address? Actual Value: What is your email address?
13:31:12.756 [main] INFO  utilities.Browser.SurveyFormReUsables - Email Control Question Passed : Actual Value is: What is your email address?Expected Value is: What is your email address?
13:31:14.170 [main] INFO  utilities.Browser.SurveyFormReUsables - Email Control Answer Expected Value:sudhakar@rsoft.in Actual Value: sudhakar@rsoft.in
13:31:14.170 [main] INFO  utilities.Browser.SurveyFormReUsables - Email Control Answer Passed : Actual Value is: sudhakar@rsoft.inExpected Value is: sudhakar@rsoft.in
13:31:16.614 [main] INFO  utilities.Browser.SurveyFormReUsables - Phone Number Control Question Expected Value:Please type your phone number Actual Value: Please type your phone number
13:31:16.614 [main] INFO  utilities.Browser.SurveyFormReUsables - Phone Number Control Question Passed : Actual Value is: Please type your phone numberExpected Value is: Please type your phone number
13:31:17.991 [main] INFO  utilities.Browser.SurveyFormReUsables - Phone Number Control Answer Expected Value:+91 1234567890 Actual Value: +91 1234567890
13:31:17.991 [main] INFO  utilities.Browser.SurveyFormReUsables - Phone Number Control Answer Passed : Actual Value is: +91 1234567890Expected Value is: +91 1234567890
13:31:20.449 [main] INFO  utilities.Browser.SurveyFormReUsables - Appointment Control Question Expected Value:Book an appointment / meeting Actual Value: Book an appointment / meeting
13:31:20.449 [main] INFO  utilities.Browser.SurveyFormReUsables - Appointment Control Question Passed : Actual Value is: Book an appointment / meetingExpected Value is: Book an appointment / meeting
13:31:21.852 [main] INFO  utilities.Browser.SurveyFormReUsables - Appointment Control Answer Expected Value:Appointment Date : 06/11/2023, Time : [ 09:05 AM to 09:09 AM ] Actual Value: Appointment Date : 06/11/2023, Time : [ 09:05 AM to 09:09 AM ]
13:31:21.852 [main] INFO  utilities.Browser.SurveyFormReUsables - Appointment Control Answer Passed : Actual Value is: Appointment Date : 06/11/2023, Time : [ 09:05 AM to 09:09 AM ]Expected Value is: Appointment Date : 06/11/2023, Time : [ 09:05 AM to 09:09 AM ]
13:31:24.305 [main] INFO  utilities.Browser.SurveyFormReUsables - MultiChoice Control Question Expected Value:Select your choices..! Actual Value: Select your choices..!
13:31:24.305 [main] INFO  utilities.Browser.SurveyFormReUsables - MultiChoice Control Question Passed : Actual Value is: Select your choices..!Expected Value is: Select your choices..!
13:31:25.692 [main] INFO  utilities.Browser.SurveyFormReUsables - MultiChoice Control Answer Expected Value:DisAgree, Agree Actual Value: DisAgree, Agree
13:31:25.692 [main] INFO  utilities.Browser.SurveyFormReUsables - MultiChoice Control Answer Passed : Actual Value is: DisAgree, AgreeExpected Value is: DisAgree, Agree
13:31:28.162 [main] INFO  utilities.Browser.SurveyFormReUsables - List Control Question Expected Value:Type and select your answer..! Actual Value: Type and select your answer..!
13:31:28.162 [main] INFO  utilities.Browser.SurveyFormReUsables - List Control Question Passed : Actual Value is: Type and select your answer..!Expected Value is: Type and select your answer..!
13:31:29.573 [main] INFO  utilities.Browser.SurveyFormReUsables - List Control Values Expected Value:Sample Option 5 Actual Value: Sample Option 5
13:31:29.573 [main] INFO  utilities.Browser.SurveyFormReUsables - List Control Values Passed : Actual Value is: Sample Option 5Expected Value is: Sample Option 5
13:31:32.052 [main] INFO  utilities.Browser.SurveyFormReUsables - Number Control Question Expected Value:Enter the Number? Actual Value: Enter the Number?
13:31:32.053 [main] INFO  utilities.Browser.SurveyFormReUsables - Number Control Question Passed : Actual Value is: Enter the Number?Expected Value is: Enter the Number?
13:31:33.474 [main] INFO  utilities.Browser.SurveyFormReUsables - Number Control Answer Expected Value:1234567890 Actual Value: 1234567890
13:31:33.475 [main] INFO  utilities.Browser.SurveyFormReUsables - Number Control Answer Passed : Actual Value is: 1234567890Expected Value is: 1234567890
13:31:35.913 [main] INFO  utilities.Browser.SurveyFormReUsables - Range Control Question Expected Value:Select a range Actual Value: Select a range
13:31:35.914 [main] INFO  utilities.Browser.SurveyFormReUsables - Range Control Question Passed : Actual Value is: Select a rangeExpected Value is: Select a range
13:31:37.291 [main] INFO  utilities.Browser.SurveyFormReUsables - Range Control Answer Expected Value:30 Actual Value: 30
13:31:37.291 [main] INFO  utilities.Browser.SurveyFormReUsables - Range Control Answer Passed : Actual Value is: 30Expected Value is: 30
13:31:39.681 [main] INFO  utilities.Browser.SurveyFormReUsables - Rating Control Question Expected Value:How was your experience? Actual Value: How was your experience?
13:31:39.681 [main] INFO  utilities.Browser.SurveyFormReUsables - Rating Control Question Passed : Actual Value is: How was your experience?Expected Value is: How was your experience?
13:31:41.056 [main] INFO  utilities.Browser.SurveyFormReUsables - Rating Control Answer Expected Value:Okay Actual Value: Okay
13:31:41.057 [main] INFO  utilities.Browser.SurveyFormReUsables - Rating Control Answer Passed : Actual Value is: OkayExpected Value is: Okay
13:31:43.423 [main] INFO  utilities.Browser.SurveyFormReUsables - Opinion Scale Control Question Expected Value:Choose a number? Actual Value: Choose a number?
13:31:43.423 [main] INFO  utilities.Browser.SurveyFormReUsables - Opinion Scale Control Question Passed : Actual Value is: Choose a number?Expected Value is: Choose a number?
13:31:44.822 [main] INFO  utilities.Browser.SurveyFormReUsables - Opinion Scale Control Answer Expected Value:7 Actual Value: 7
13:31:44.822 [main] INFO  utilities.Browser.SurveyFormReUsables - Opinion Scale Control Answer Passed : Actual Value is: 7Expected Value is: 7
13:31:47.198 [main] INFO  utilities.Browser.SurveyFormReUsables - Date Control Question Expected Value:Select a date Actual Value: Select a date
13:31:47.199 [main] INFO  utilities.Browser.SurveyFormReUsables - Date Control Question Passed : Actual Value is: Select a dateExpected Value is: Select a date
13:31:48.622 [main] INFO  utilities.Browser.SurveyFormReUsables - Date Control Answer Expected Value:04/11/2023 Actual Value: 04/11/2023
13:31:48.623 [main] INFO  utilities.Browser.SurveyFormReUsables - Date Control Answer Passed : Actual Value is: 04/11/2023Expected Value is: 04/11/2023
13:31:51.048 [main] INFO  utilities.Browser.SurveyFormReUsables - Link Control Question Expected Value:Please contact us Actual Value: Please contact us
13:31:51.049 [main] INFO  utilities.Browser.SurveyFormReUsables - Link Control Question Passed : Actual Value is: Please contact usExpected Value is: Please contact us
13:31:53.464 [main] INFO  utilities.Browser.SurveyFormReUsables - Thank You Control Question Expected Value:Nice chatting with you Actual Value: Nice chatting with you
13:31:53.464 [main] INFO  utilities.Browser.SurveyFormReUsables - Thank You Control Question Passed : Actual Value is: Nice chatting with youExpected Value is: Nice chatting with you
13:31:55.915 [main] INFO  utilities.Browser.SurveyFormReUsables - Picture Message Control Question Expected Value:Select the picture…! Actual Value: Select the picture…!
13:31:55.915 [main] INFO  utilities.Browser.SurveyFormReUsables - Picture Message Control Question Passed : Actual Value is: Select the picture…!Expected Value is: Select the picture…!
13:31:57.285 [main] INFO  utilities.Browser.SurveyFormReUsables - Picture Message Control Answer Expected Value:SelectPicture Actual Value: SelectPicture
13:31:57.285 [main] INFO  utilities.Browser.SurveyFormReUsables - Picture Message Control Answer Passed : Actual Value is: SelectPictureExpected Value is: SelectPicture
13:31:59.781 [main] INFO  utilities.Browser.SurveyFormReUsables - Yes or No Control Question Expected Value:Select Yes or No..? Actual Value: Select Yes or No..?
13:31:59.782 [main] INFO  utilities.Browser.SurveyFormReUsables - Yes or No Control Question Passed : Actual Value is: Select Yes or No..?Expected Value is: Select Yes or No..?
13:32:01.163 [main] INFO  utilities.Browser.SurveyFormReUsables - Yes or No Control Answer Expected Value:No Actual Value: No
13:32:01.164 [main] INFO  utilities.Browser.SurveyFormReUsables - Yes or No Control Answer Passed : Actual Value is: NoExpected Value is: No
13:32:03.650 [main] INFO  utilities.Browser.SurveyFormReUsables - Agreement Control Question Expected Value:Terms and Conditions..! Actual Value: Terms and Conditions..!
13:32:03.650 [main] INFO  utilities.Browser.SurveyFormReUsables - Agreement Control Question Passed : Actual Value is: Terms and Conditions..!Expected Value is: Terms and Conditions..!
13:32:05.030 [main] INFO  utilities.Browser.SurveyFormReUsables - Agreement Control Answer Expected Value:Accepted Actual Value: Accepted
13:32:05.031 [main] INFO  utilities.Browser.SurveyFormReUsables - Agreement Control Answer Passed : Actual Value is: AcceptedExpected Value is: Accepted
13:32:07.397 [main] INFO  utilities.Browser.SurveyFormReUsables - Rank Matrix Control Question Expected Value:Choose the value..! Actual Value: Choose the value..!
13:32:07.397 [main] INFO  utilities.Browser.SurveyFormReUsables - Rank Matrix Control Question Passed : Actual Value is: Choose the value..!Expected Value is: Choose the value..!
13:32:29.079 [main] INFO  utilities.Browser.SurveyFormReUsables - Rank Matrix Response Values Passed : Actual Value is: 147Expected Value is: 147
14:04:49.267 [main] INFO  testCases.TC_001_SFI_All_Mobile - ******starting TC_001_SFI_All_Mobile ****
14:04:49.301 [main] INFO  testCases.TC_001_SFI_All_Mobile - Test Execution on Browser: chrome
14:04:49.316 [main] INFO  testCases.TC_001_SFI_All_Mobile - Excel file Utility instance created
14:04:50.869 [main] INFO  testCases.TC_001_SFI_All_Mobile - Row Count is: 1
14:04:51.083 [main] INFO  testCases.TC_001_SFI_All_Mobile - Col Count is: 49
14:04:51.084 [main] INFO  testCases.TC_001_SFI_All_Mobile - Extracting DataSheet Values started...
14:04:54.381 [main] INFO  testCases.TC_001_SFI_All_Mobile - Extracting DataSheet Values Completed...
14:05:00.659 [main] INFO  testCases.TC_001_SFI_All_Mobile - Survey Form Url Launched..
14:05:08.180 [main] INFO  utilities.SurveyFormReUsables - Message Title Passed : Actual Value is: Hi, Welcome to chat bot..!Expected Value is: Hi, Welcome to chat bot..!
14:05:09.669 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of Message Control Title
14:05:10.884 [main] INFO  testCases.TC_001_SFI_All_Mobile -  Select an option..! Actual Title 
14:05:10.885 [main] INFO  utilities.SurveyFormReUsables - MultiChoice Control Title Passed : Actual Value is: Select an option..!Expected Value is: Select an option..!
14:05:12.285 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of MultiChoice Control Title Completed
14:05:16.154 [main] INFO  utilities.Android.UtilityCustomFunctions - [DisAgree] is selected in List
14:05:16.154 [main] INFO  testCases.TC_001_SFI_All_Mobile - MultiChoice Item Selected
14:05:17.806 [main] INFO  testCases.TC_001_SFI_All_Mobile - MultiChoice Next Clicked
14:05:18.167 [main] INFO  utilities.SurveyFormReUsables - TextQuestion Control Title Passed : Actual Value is: Please type an answer ..!Expected Value is: Please type an answer ..!
