17:00:31.319 [main] INFO  utilities.Browser.SurveyFormReUsables - Yes or No Control Answer Expected Value:No Actual Value: No
17:00:31.329 [main] INFO  utilities.Browser.SurveyFormReUsables - Yes or No Control Answer Passed : Actual Value is: NoExpected Value is: No
17:00:33.715 [main] INFO  utilities.Browser.SurveyFormReUsables - Agreement Control Question Expected Value:Terms and Conditions..! Actual Value: Terms and Conditions..!
17:00:33.716 [main] INFO  utilities.Browser.SurveyFormReUsables - Agreement Control Question Passed : Actual Value is: Terms and Conditions..!Expected Value is: Terms and Conditions..!
17:00:35.249 [main] INFO  utilities.Browser.SurveyFormReUsables - Agreement Control Answer Expected Value:Accepted Actual Value: Accepted
17:00:35.251 [main] INFO  utilities.Browser.SurveyFormReUsables - Agreement Control Answer Passed : Actual Value is: AcceptedExpected Value is: Accepted
17:00:38.088 [main] INFO  utilities.Browser.SurveyFormReUsables - Rank Matrix Control Question Expected Value:Choose the value..! Actual Value: Choose the value..!
17:00:38.088 [main] INFO  utilities.Browser.SurveyFormReUsables - Rank Matrix Control Question Passed : Actual Value is: Choose the value..!Expected Value is: Choose the value..!
17:01:00.062 [main] INFO  utilities.Browser.SurveyFormReUsables - Rank Matrix Response Values Passed : Actual Value is: 147Expected Value is: 147
17:01:02.529 [main] INFO  utilities.Browser.SurveyFormReUsables - Google Map Control Question Expected Value:What is your address? Actual Value: What is your address?
17:01:02.529 [main] INFO  utilities.Browser.SurveyFormReUsables - Google Map Control Question Passed : Actual Value is: What is your address?Expected Value is: What is your address?
17:01:03.992 [main] INFO  utilities.Browser.SurveyFormReUsables - Google Map Control Answer Expected Value:Avadi, Tamil Nadu, India Actual Value: Avadi, Tamil Nadu, India
17:01:03.992 [main] INFO  utilities.Browser.SurveyFormReUsables - Google Map Control Answer Passed : Actual Value is: Avadi, Tamil Nadu, IndiaExpected Value is: Avadi, Tamil Nadu, India
17:01:06.358 [main] INFO  utilities.Browser.SurveyFormReUsables - Voice Record Control Question Expected Value:Tap the mic and record the voice Actual Value: Tap the mic and record the voice
17:01:06.358 [main] INFO  utilities.Browser.SurveyFormReUsables - Voice Record Control Question Passed : Actual Value is: Tap the mic and record the voiceExpected Value is: Tap the mic and record the voice
17:01:07.735 [main] INFO  utilities.Browser.SurveyFormReUsables - Voice Record Control Answer Passed : Actual Value is: trueExpected Value is: true
17:01:10.148 [main] INFO  utilities.Browser.SurveyFormReUsables - FileUpload Control Question Expected Value:Upload file Actual Value: Upload file
17:01:10.148 [main] INFO  utilities.Browser.SurveyFormReUsables - FileUpload Control Question Passed : Actual Value is: Upload fileExpected Value is: Upload file
17:01:11.650 [main] INFO  utilities.Browser.SurveyFormReUsables - FileUpload Control Answer Passed : Actual Value is: trueExpected Value is: true
